epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,10986.3,0.53754,0.95642,3.12113,0.95564,0,0.99381,0.99492,0.99484,0.92093,0.99381,0.99492,0.99484,0.93511,0.43667,0.32026,1.46358,0.82854,0,0.000666156,0.000666156,0.000666156
73,11138.4,0.53472,0.94257,3.08319,0.9517,0,0.9953,0.99188,0.99106,0.91767,0.9953,0.99188,0.99106,0.93101,0.43831,0.32742,1.45347,0.82901,0,0.000657963,0.000657963,0.000657963
74,11290.3,0.53671,0.94845,3.07331,0.9555,0,0.9961,0.99583,0.99408,0.93303,0.9961,0.99583,0.99408,0.93064,0.40464,0.32222,1.38363,0.82272,0,0.000649724,0.000649724,0.000649724
75,11442.5,0.53939,0.94593,3.13875,0.95761,0,0.99163,0.99572,0.99058,0.92346,0.99163,0.99572,0.99058,0.93438,0.40913,0.32205,1.41996,0.82327,0,0.00064144,0.00064144,0.00064144
76,11595.1,0.53001,0.94717,3.02489,0.95781,0,0.99552,0.99006,0.99046,0.9276,0.99552,0.99006,0.99046,0.93083,0.40686,0.30773,1.41338,0.82331,0,0.000633115,0.000633115,0.000633115
77,11747.5,0.53711,0.93902,3.06099,0.95974,0,0.99069,0.99559,0.99035,0.92609,0.99069,0.99559,0.99035,0.93126,0.40991,0.3192,1.40585,0.82286,0,0.000624751,0.000624751,0.000624751
78,11899.1,0.53625,0.93709,3.03086,0.95367,0,0.99576,0.99167,0.99404,0.9011,0.99576,0.99167,0.99404,0.93946,0.49028,0.35391,1.4963,0.83931,0,0.000616351,0.000616351,0.000616351
79,12051.4,0.52602,0.92639,2.99976,0.9526,0,0.99623,0.99167,0.99369,0.89489,0.99623,0.99167,0.99369,0.93587,0.51163,0.37698,1.52811,0.84611,0,0.000607916,0.000607916,0.000607916
80,12203,0.53715,0.93571,3.04111,0.95892,0,0.99364,0.992,0.99459,0.9038,0.99364,0.992,0.99459,0.9394,0.48684,0.33495,1.49731,0.83877,0,0.00059945,0.00059945,0.00059945
81,12355.6,0.52361,0.92865,2.96416,0.95612,0,0.99501,0.99216,0.99474,0.913,0.99501,0.99216,0.99474,0.93311,0.46734,0.31343,1.48375,0.83382,0,0.000590956,0.000590956,0.000590956
