                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.86143,                 1.1898,                 1.2779,                0.85543,                0.94706,                0.97781,                0.68003,                0.82637,                 1.3984,                 1.2254,             0.00070971,             0.00070971,             0.00070971
                     53,                0.84422,                  1.255,                 1.2482,                0.85426,                0.95397,                0.95937,                0.63815,                0.97568,                  1.551,                 1.3509,             0.00069955,             0.00069955,             0.00069955
                     54,                0.81261,                 1.1467,                 1.1943,                0.80598,                0.83291,                 0.9754,                 0.7521,                0.70101,                 1.8016,                 1.1373,             0.00068929,             0.00068929,             0.00068929
                     55,                0.81809,                 1.1944,                 1.2348,                 0.7969,                0.96975,                0.93328,                0.71102,                0.82453,                 1.1365,                 1.2471,             0.00067893,             0.00067893,             0.00067893
                     56,                0.82645,                 1.1233,                  1.219,                0.88456,                0.93782,                0.95068,                0.66326,                0.80589,                 1.2804,                 1.2115,             0.00066849,             0.00066849,             0.00066849
                     57,                0.84452,                 1.1622,                  1.253,                0.63374,                0.94847,                0.95752,                0.71476,                0.69634,                 2.0683,                 1.1421,             0.00065796,             0.00065796,             0.00065796
                     58,                0.81903,                  1.177,                 1.2266,                0.93712,                0.95191,                0.99042,                0.72284,                0.69181,                 1.0894,                 1.1222,             0.00064736,             0.00064736,             0.00064736
                     59,                0.83625,                 1.1625,                 1.2648,                0.70191,                0.81363,                 0.9446,                0.67725,                0.71014,                 1.9832,                 1.1631,             0.00063669,             0.00063669,             0.00063669
                     60,                0.82645,                 1.1612,                 1.2724,                0.81863,                0.97548,                0.95349,                0.71329,                0.76912,                 1.1074,                 1.1629,             0.00062595,             0.00062595,             0.00062595
                     61,                0.79173,                 1.0786,                 1.2392,                0.76933,                0.91288,                0.96839,                 0.6957,                0.84989,                  1.336,                 1.2437,             0.00061515,             0.00061515,             0.00061515
                     62,                0.80994,                 1.1426,                 1.2244,                0.82145,                0.86437,                0.93834,                0.69425,                0.79484,                 1.6836,                 1.2186,             0.00060429,             0.00060429,             0.00060429
                     63,                0.80743,                 1.1175,                 1.2259,                0.89368,                0.99099,                0.99078,                 0.7368,                 0.7401,                  1.004,                 1.1811,             0.00059339,             0.00059339,             0.00059339
                     64,                0.78918,                 1.0978,                 1.2429,                0.93873,                0.91605,                0.98531,                0.69793,                0.80032,                 1.1549,                 1.2045,             0.00058244,             0.00058244,             0.00058244
                     65,                0.84585,                 1.1978,                 1.2703,                0.93097,                0.98286,                0.98317,                0.72961,                0.71781,                 1.0785,                 1.1411,             0.00057145,             0.00057145,             0.00057145
                     66,                0.81628,                 1.1721,                  1.226,                0.89923,                0.91783,                0.97005,                0.71183,                0.77242,                 1.3342,                 1.1914,             0.00056042,             0.00056042,             0.00056042
                     67,                0.80722,                 1.0815,                 1.2413,                0.88375,                0.99099,                0.99192,                 0.6676,                0.93106,                 1.0125,                  1.324,             0.00054937,             0.00054937,             0.00054937
                     68,                0.82158,                 1.1324,                 1.2623,                0.81425,                0.98467,                0.97797,                 0.6909,                 0.8272,                 1.0187,                 1.2276,              0.0005383,              0.0005383,              0.0005383
                     69,                0.82819,                 1.1253,                 1.2557,                0.72771,                0.98789,                 0.9625,                 0.7176,                0.70689,                 1.1586,                 1.1275,             0.00052721,             0.00052721,             0.00052721
                     70,                0.78804,                 1.1019,                 1.2258,                0.80835,                0.96538,                0.97848,                0.72307,                0.67458,                 1.0493,                 1.1084,             0.00051611,             0.00051611,             0.00051611
                     71,                0.78896,                 1.1423,                 1.2449,                0.73413,                0.91265,                0.92959,                0.70447,                0.71207,                  1.447,                   1.14,               0.000505,               0.000505,               0.000505
                     72,                 0.7776,                 1.1291,                 1.2199,                0.84924,                0.99099,                0.97442,                0.71164,                0.78351,                 0.9916,                 1.1828,             0.00049389,             0.00049389,             0.00049389
                     73,                0.81664,                 1.0825,                 1.2087,                0.94451,                0.99099,                0.99351,                0.72434,                0.73893,                0.98303,                 1.1649,             0.00048279,             0.00048279,             0.00048279
                     74,                0.80584,                 1.1307,                 1.2385,                0.88419,                0.98834,                0.98806,                0.74913,                0.69657,                  0.935,                 1.1158,              0.0004717,              0.0004717,              0.0004717
