                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.3524,                0.99567,                  1.025,                0.87978,                0.85185,                0.89725,                0.50071,                 1.4482,                 1.0527,                  1.062,               0.000704,               0.000704,               0.000704
                     74,                 1.3898,                0.97873,                 1.0479,                0.85422,                0.85185,                 0.8939,                0.53284,                 1.3412,                 1.0587,                 1.0472,               0.000686,               0.000686,               0.000686
                     75,                 1.3908,                0.93767,                 1.0448,                 0.8449,                0.87037,                0.86951,                0.52828,                 1.4053,                 1.0428,                 1.1168,               0.000668,               0.000668,               0.000668
                     76,                 1.4168,                0.96559,                  1.051,                0.82484,                 0.8721,                0.89193,                0.53399,                 1.3687,                  1.005,                 1.0353,                0.00065,                0.00065,                0.00065
                     77,                 1.3486,                 1.0082,                 1.0127,                0.84749,                0.87037,                0.94014,                0.53814,                 1.3503,                 1.0443,                 1.0322,               0.000632,               0.000632,               0.000632
                     78,                 1.3597,                0.93024,                 1.0384,                0.92234,                0.85185,                0.91916,                0.54341,                 1.3577,                0.97996,                 1.0301,               0.000614,               0.000614,               0.000614
                     79,                 1.3814,                0.92777,                 1.0426,                  0.867,                0.84514,                0.91967,                0.58012,                 1.2961,                0.96738,                 1.0145,               0.000596,               0.000596,               0.000596
                     80,                 1.4008,                0.94268,                 1.0405,                0.85153,                0.83333,                0.90526,                0.57001,                 1.3239,                   1.02,                 1.0367,               0.000578,               0.000578,               0.000578
                     81,                 1.3197,                0.97135,                 1.0074,                 0.8539,                 0.8659,                0.87618,                 0.5315,                 1.3378,                 1.0272,                 1.0467,                0.00056,                0.00056,                0.00056
                     82,                 1.3411,                0.92516,                 1.0358,                 0.7986,                0.90741,                0.90782,                0.56759,                  1.351,                0.99179,                 1.0421,               0.000542,               0.000542,               0.000542
                     83,                  1.379,                0.93807,                 1.0468,                0.79668,                0.92593,                0.89664,                0.53601,                 1.3243,                 1.0495,                 1.0275,               0.000524,               0.000524,               0.000524
                     84,                 1.3502,                0.92133,                 1.0254,                 0.8926,                0.85185,                0.91887,                0.57788,                 1.3397,                 1.0019,                 1.0755,               0.000506,               0.000506,               0.000506
                     85,                 1.3557,                0.93608,                 1.0472,                0.92814,                0.83333,                0.91972,                0.52509,                 1.4659,                 1.0789,                 1.0704,               0.000488,               0.000488,               0.000488
                     86,                 1.3639,                0.92004,                 1.0353,                0.91784,                0.82758,                0.92266,                0.53063,                 1.4356,                 1.0235,                 1.0663,                0.00047,                0.00047,                0.00047
                     87,                 1.3578,                 0.9054,                 1.0194,                0.88728,                0.87469,                0.90641,                0.50649,                 1.3743,                 1.0311,                 1.0679,               0.000452,               0.000452,               0.000452
                     88,                 1.3685,                0.90982,                 1.0321,                0.85298,                0.87037,                 0.8826,                0.55219,                 1.3777,                 1.0066,                 1.0994,               0.000434,               0.000434,               0.000434
                     89,                 1.3428,                0.89046,                 1.0217,                0.88688,                0.87112,                0.91256,                0.54013,                 1.3888,                0.96187,                 1.1152,               0.000416,               0.000416,               0.000416
