                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.44984,                0.91906,                0.96498,                0.95489,                0.96854,                0.99417,                0.78583,                0.60247,                 1.3791,                 1.0368,             0.00055158,             0.00055158,             0.00055158
                     49,                0.44516,                0.91538,                0.96133,                0.96354,                0.97188,                0.99239,                0.77909,                0.57417,                 1.4003,                 1.0322,             0.00053608,             0.00053608,             0.00053608
                     50,                0.44868,                0.91935,                0.96759,                0.91346,                0.93314,                0.97976,                 0.8011,                0.51584,                 1.3018,                0.99641,             0.00052055,             0.00052055,             0.00052055
                     51,                0.45763,                0.94246,                0.96563,                0.93147,                0.97372,                0.98699,                 0.7925,                0.52873,                 1.3415,                 1.0103,               0.000505,               0.000505,               0.000505
                     52,                0.43173,                 0.8855,                0.96277,                0.90811,                0.99162,                 0.9875,                0.75384,                0.55819,                 1.3954,                 1.0185,             0.00048945,             0.00048945,             0.00048945
                     53,                0.42549,                0.87617,                 0.9459,                0.94699,                 0.9674,                0.97938,                0.77573,                0.51534,                 1.3561,                 1.0127,             0.00047392,             0.00047392,             0.00047392
                     54,                0.43467,                0.88986,                0.96411,                0.86885,                0.94797,                 0.9578,                0.76952,                0.52717,                  1.314,                  1.022,             0.00045842,             0.00045842,             0.00045842
                     55,                0.42682,                0.89097,                0.95897,                0.97433,                0.96612,                0.99261,                 0.8058,                0.53312,                 1.2794,                 1.0038,             0.00044296,             0.00044296,             0.00044296
                     56,                0.42034,                0.86177,                0.95241,                0.87526,                0.98638,                0.97552,                0.78352,                0.54418,                 1.2781,                 1.0104,             0.00042756,             0.00042756,             0.00042756
                     57,                0.42862,                0.89305,                0.95932,                0.93712,                0.98177,                0.99041,                0.79309,                0.51186,                 1.2893,                0.99963,             0.00041225,             0.00041225,             0.00041225
                     58,                0.41592,                0.83639,                0.96352,                0.97519,                0.98638,                  0.995,                0.77574,                0.58855,                  1.282,                 1.0299,             0.00039702,             0.00039702,             0.00039702
                     59,                0.42021,                0.86285,                0.95418,                0.96998,                0.98396,                0.99175,                0.78891,                 0.5343,                  1.274,                 1.0228,              0.0003819,              0.0003819,              0.0003819
                     60,                0.41413,                0.84293,                0.96268,                0.96608,                0.98198,                0.99332,                0.77408,                0.52721,                 1.3041,                0.99935,              0.0003669,              0.0003669,              0.0003669
                     61,                0.41344,                0.85638,                0.94259,                0.94222,                 0.9645,                0.99417,                0.77985,                0.55826,                 1.2673,                 1.0294,             0.00035204,             0.00035204,             0.00035204
                     62,                0.40976,                0.84084,                0.95954,                0.83532,                0.98481,                0.98412,                0.79032,                0.56267,                  1.254,                 1.0299,             0.00033732,             0.00033732,             0.00033732
                     63,                0.39936,                0.83415,                0.93753,                0.96852,                0.97552,                0.99378,                0.77113,                0.57964,                 1.3811,                 1.0373,             0.00032278,             0.00032278,             0.00032278
                     64,                0.39885,                0.82218,                 0.9468,                 0.9257,                0.97657,                0.99274,                0.79829,                0.48568,                 1.4401,                0.98836,             0.00030841,             0.00030841,             0.00030841
                     65,                0.39271,                0.79414,                0.94204,                0.83463,                0.98426,                0.96938,                0.80208,                0.51219,                 1.2131,                0.99536,             0.00029424,             0.00029424,             0.00029424
                     66,                0.38546,                0.79052,                0.93426,                0.86909,                0.97287,                 0.9583,                0.78611,                0.55405,                 1.2578,                 1.0081,             0.00028027,             0.00028027,             0.00028027
